C00400929|N|M4|P2026|202504119755217195|24K|CCM|DR JOHN JOYCE FOR CONGRESS|ALTOONA|PA|16602|||03042025|2500|C00674259|H8PA13125|A1371FC6BF81605365A|1885345|||4041120251183924970
C00400929|N|M4|P2030|202504119755217196|24K|CCM|FRIENDS OF DAVE MCCORMICK|PITTSBURGH|PA|15222|||03202025|5000|C00851980|S2PA00661|5AAECFDAC8173CE36B2|1885345|||4041120251183924971
C00400929|N|M4|P2026|202504119755217196|24K|CCM|FRIENDS OF DAVID SCHWEIKERT|SCOTTSDALE|AZ|85267|||03202025|1000|C00540617|H4AZ06045|489C948E11EBC331D47|1885345|||4041120251183924972
C00400929|N|M4|P2030|202504119755217196|24K|CCM|FRIENDS OF JOHN BARRASSO|CASPER|WY|826052008|||03202025|2500|C00436386|S6WY00068|E53315750424A932C30|1885345|||4041120251183924973
C00400929|N|M4|P2026|202504119755217197|24K|CCM|FRIENDS TO ELECT DR. GREG MURPHY TO CONGRESS|GREENVILLE|NC|27835|||03042025|2500|C00697649|H0NC03172|F278407700B107B9D99|1885345|||4041120251183924974
C00400929|N|M4|P2026|202504119755217197|24K|CCM|GRACE FOR NEW YORK|FRESH MEADOWS|NY|11365|||03042025|1000|C00516666|H2NY06116|9839424452A2BB41F96|1885345|||4041120251183924975
C00400929|N|M4|P2026|202504119755217197|24K|CCM|GUTHRIE FOR CONGRESS|LOUISVILLE|KY|40252|||03042025|2500|C00445023|H8KY02031|8CDB18D388ECF869405|1885345|||4041120251183924976
C00400929|N|M4|P2026|202504119755217198|24K|CCM|GUTHRIE FOR CONGRESS|LOUISVILLE|KY|40252|||03042025|1500|C00445023|H8KY02031|5AF855B1C5146DB7E89|1885345|||4041120251183924977
C00400929|N|M4|P2026|202504119755217200|24K|CCM|MIKE JOHNSON FOR LOUISIANA|ALEXANDRIA|VA|22314|||03042025|5000|C00608695|H6LA04138|B770BF3EDF3A32D09E6|1885345|||4041120251183924983
C00400929|N|M4|P2026|202504119755217198|24K|CCM|HUSTED FOR SENATE|COLUMBUS|OH|43206|||03042025|3500|C00896019|S6OH00304|15865F52E8B2F3B5FEA|1885345|||4041120251183924978
C00400929|N|M4|P2026|202504119755217198|24K|CCM|JASON SMITH FOR CONGRESS|CAPE GIRARDEAU|MO|637021324|||03042025|1500|C00541862|H4MO08162|B53D3F0A8EE53CF600E|1885345|||4041120251183924979
C00400929|N|M4|P2026|202504119755217199|24K|CCM|JASON SMITH FOR CONGRESS|CAPE GIRARDEAU|MO|637021324|||03202025|3000|C00541862|H4MO08162|03EBA9F2444F98D2116|1885345|||4041120251183924980
C00400929|N|M4|P2030|202504119755217199|24K|CCM|JOHN CURTIS FOR UTAH|PROVO|UT|84603|||03042025|1500|C00647339|S4UT00282|C101024AB5C7B754E5A|1885345|||4041120251183924981
C00400929|N|M4|P2026|202504119755217199|24K|CCM|MATSUI FOR CONGRESS|SACRAMENTO|CA|95812|||03042025|2500|C00409219|H6CA05195|A7D6A21FD1227192FBB|1885345|||4041120251183924982
C00400929|N|M4|G2026|202504119755217200|24K|CCM|MULLIN FOR AMERICA|OKLAHOMA CITY|OK|73101|||03202025|1500|C00498345|S2OK00186|7EBF7340D1F344C8F5F|1885345|||4041120251183924985
C00400929|N|M4|P2026|202504119755217201|24K|CCM|PALLONE FOR CONGRESS|LONG BRANCH|NJ|07740|||03042025|5000|C00226928|H8NJ03073|A297E80D546A79DF63F|1885345|||4041120251183924986
C00400929|N|M4|P2026|202504119755217201|24K|CCM|SCANLON FOR CONGRESS|SWARTHMORE|PA|19081|||03042025|2500|C00669358|H8PA07200|751AD362E2B0529F976|1885345|||4041120251183924987
C00208983|N|M4|G2026|202504099755144616|24K|CCM|CAPITO FOR WEST VIRGINIA|CHARLESTON|WV|25339|||03192025|1000|C00539825|S4WV00159|SB23.18550|1884639|||4040920251183563128
C00208983|N|M4|P2026|202504099755144616|24K|CCM|VIRGINIA FOXX FOR CONGRESS|BOONE|NC|28607|||03192025|1000|C00386748|H4NC05146|SB23.18547|1884639|||4040920251183563129
C00757260|N|Q1|G2024|202504099755144622|24K|CAN|MEUSER, DANIEL|WYOMING|PA|18644|||03182025|1000|C00654723|H8PA10147|SB23.4261|1884641|||4040920251183563130
C00027342|N|M4|P2026|202504099755146202|24K|CCM|FRIENDS OF DON BEYER|ALEXANDRIA|VA|22314|||03282025|5000|C00555888|H4VA08224|89822446|1884660||2026 VOLUNTARY FEDERAL PRIMARY|4040920251183563634
C00027342|N|M4|G2026|202504099755146202|24K|CCM|FRIENDS OF DON BEYER|ALEXANDRIA|VA|22314|||03282025|5000|C00555888|H4VA08224|89822567|1884660||2026 VOLUNTARY FEDERAL GENERAL|4040920251183563635
C00027342|N|M4|P2026|202504099755146202|24K|CCM|NOLLEY FOR CONGRESS|LOVES PARK|IL|61111|||03282025|5000|C00900399|H6IL16108|89822571|1884660||2026 VOLUNTARY FEDERAL PRIMARY|4040920251183563639
C00027342|N|M4|P2026|202504099755146199|24K|CCM|TOKUDA FOR HAWAII|HONOLULU|HI|96816|||03202025|5000|C00813758|H2HI02581|89799585|1884660||2026 VOLUNTARY FEDERAL PRIMARY|4040920251183563603
C00027342|N|M4|G2026|202504099755146195|24K|CCM|MCCLURE FOR PA|BETHLEHEM|PA|18017|||03072025|5000|C00898544|H6PA07147|89765722|1884660||2026 VOLUNTARY FEDERAL GENERAL|4040920251183563531
C00027342|N|M4|P2026|202504099755146203|24K|CCM|SYDNEY KAMLAGER-DOVE FOR CONGRESS|LOS ANGELES|CA|90004|||03282025|5000|C00795823|H2CA37304|89822572|1884660||2026 VOLUNTARY FEDERAL PRIMARY|4040920251183563640
